Date,Room,Type,Description,Additional Description
2025-08-20T20:25:44.845,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:25:44.855,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:25:44.863,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:25:55.103,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:25:55.113,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:26:05.183,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:26:05.189,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:26:15.102,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:26:15.112,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:26:15.120,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:26:15.129,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:26:24.840,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:26:24.850,103,Value monitoring,MUR 0 -> 1,
2025-08-21T04:56:00.447,103,Value monitoring,DND 0 -> 1,
2025-08-21T04:56:00.458,103,Value monitoring,MUR 1 -> 0,
2025-08-21T04:56:10.166,103,Value monitoring,DND 1 -> 0,
2025-08-21T04:56:10.176,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:37:29.257,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:37:36.848,103,Value monitoring,Window  0 -> 1,
2025-08-21T08:37:36.884,103,Value monitoring,Door 1 -> 0,
2025-08-21T08:37:39.327,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:37:39.349,103,Value monitoring,MUR 1 -> 0,
2025-08-21T08:37:51.327,103,Value monitoring,DND 1 -> 0,
2025-08-21T08:37:51.338,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:37:58.582,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:37:58.591,103,Value monitoring,MUR 1 -> 0,
2025-08-21T08:38:06.082,103,Value monitoring,Window  1 -> 0,
2025-08-21T08:38:06.093,103,Value monitoring,Door 0 -> 1,
2025-08-21T08:38:08.600,103,Value monitoring,DND 1 -> 0,
2025-08-21T08:38:08.606,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:38:18.100,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:38:18.110,103,Value monitoring,MUR 1 -> 0,
2025-08-21T08:38:30.369,103,Value monitoring,DND 1 -> 0,
2025-08-21T08:38:30.380,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:38:38.099,103,Value monitoring,Window  0 -> 1,
2025-08-21T08:38:38.136,103,Value monitoring,Door 1 -> 0,
2025-08-21T08:38:38.167,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:38:38.175,103,Value monitoring,MUR 1 -> 0,
2025-08-21T08:38:48.056,103,Value monitoring,DND 1 -> 0,
2025-08-21T08:38:48.065,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:39:00.249,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:39:00.256,103,Value monitoring,MUR 1 -> 0,
2025-08-21T08:39:12.849,103,Value monitoring,Window  1 -> 0,
2025-08-21T08:39:12.858,103,Value monitoring,Door 0 -> 1,
2025-08-21T08:39:12.867,103,Value monitoring,DND 1 -> 0,
2025-08-21T08:39:12.875,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:39:18.815,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:39:18.825,103,Value monitoring,MUR 1 -> 0,
2025-08-21T08:39:29.097,103,Value monitoring,DND 1 -> 0,
2025-08-21T08:39:29.108,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:39:36.815,103,Value monitoring,Window  0 -> 1,
2025-08-21T08:39:36.823,103,Value monitoring,Door 1 -> 0,
2025-08-21T08:39:39.173,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:39:39.185,103,Value monitoring,MUR 1 -> 0,
2025-08-21T08:39:49.173,103,Value monitoring,DND 1 -> 0,
2025-08-21T08:39:49.179,103,Value monitoring,MUR 0 -> 1,
2025-08-21T08:39:59.088,103,Value monitoring,DND 0 -> 1,
2025-08-21T08:39:59.124,103,Value monitoring,MUR 1 -> 0,
2025-08-13T12:11:40.957,101,Value monitoring,Door 1 -> 0,
2025-08-13T12:11:48.142,101,Value monitoring,Door 0 -> 1,
2025-08-20T03:44:01.886,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:44:01.896,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:44:01.907,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:44:01.917,103,Value monitoring,MUR 1 -> 0,
